L.p.	Temperatura	Temperatura bezwzględna	Temp odw.	Współczynnik Seebecka	Współczynnik Seebecka (ERR)	Rezystywność	Rezystywność (ERR)	Przewodnictwo właściwe Swl	Przewodnictwo właściwe Swl (ERR)	log(Swl)	Temp próbki L (dt=0)	Temp próbki H (dt=0)	Temp próbki L (dt=X)	Temp próbki H (dt=X)	dT	Seeb avg(U) (dt=0)	Seeb avg(U) (dt=0) (ERR)	Seeb avg(U) (dt=X)	Seeb avg(U) (dt=X) (ERR)	Swl avg(U)	Swl avg(U) (ERR)	Swl avg(I)	Swl avg(I) (ERR)	PowF	Lambda	ZT
	°C	K	1/K	µV/K	µV/K			S/m	S/m		°C	°C	°C	°C	°C	mV	mV	mV	mV	mV	mV	mA	mA	mW/m-K2	W/mK	
1	45.9	319.1	0.00313	28.10	1.08	5113e-7	6424e-7	1955.97	1556.56	7.5786	45.8	46.0	56.6	60.1	3.3	-0.0113	0.0037	0.0861	0.0037	21.2996	0.3532	543.197	7.169	1.54	1.00	4929e-7
2	75.8	349.0	0.00287	35.88	1.07	5679e-7	1903e-6	1760.74	525.41	7.4735	75.8	75.9	81.7	86.2	4.5	-0.0407	0.0050	0.1275	0.0037	24.5910	0.3592	564.536	2.461	2.27	1.00	7909e-7
3	102.0	375.1	0.00267	37.14	1.17	5760e-7	1536e-6	1736.01	650.99	7.4593	101.8	102.3	105.8	110.9	4.6	-0.0463	0.0057	0.1334	0.0049	25.1762	0.3755	569.854	3.187	2.40	1.00	8985e-7
4	127.8	401.0	0.00249	43.19	1.43	6120e-7	1258e-6	1634.02	794.61	7.3988	127.2	128.5	131.7	137.2	4.2	-0.0243	0.0061	0.1602	0.0054	26.8443	0.3427	571.916	3.550	3.05	1.00	1222e-6
5	152.7	425.8	0.00235	49.04	1.29	6646e-7	7435e-7	1504.62	1344.92	7.3163	151.8	153.6	155.5	161.3	4.0	-0.0196	0.0053	0.1812	0.0046	27.7725	0.6534	544.834	11.458	3.62	1.00	1541e-6
6	177.3	450.4	0.00222	56.01	1.34	4493e-7	4995e-7	2225.82	2002.09	7.7079	176.3	178.2	179.9	186.1	4.3	-0.0117	0.0057	0.2316	0.0058	20.2696	0.1724	588.245	4.500	6.98	1.00	3145e-6
7	202.2	475.3	0.00210	65.99	1.49	2204e-7	2863e-7	4537.97	3492.81	8.4202	201.2	203.3	204.9	211.5	4.6	-0.0021	0.0069	0.3025	0.0068	10.0215	0.0973	592.946	4.429	19.76	1.00	9393e-6
8	227.0	500.1	0.00200	78.40	1.91	1572e-7	1559e-7	6360.05	6413.95	8.7578	225.8	228.1	229.0	235.8	4.4	0.0265	0.0071	0.3819	0.0086	7.1686	0.0551	594.448	4.609	39.10	1.00	1955e-5
9	252.0	525.2	0.00190	84.61	2.29	1267e-7	1656e-7	7892.85	6040.13	8.9737	251.0	252.9	254.0	260.8	4.9	-0.0020	0.0095	0.4282	0.0117	5.7864	0.0670	595.476	5.277	56.50	1.00	2967e-5
10	276.8	549.9	0.00182	89.33	2.63	1099e-7	1099e-7	9096.04	9100.14	9.1156	275.5	277.9	278.3	285.6	4.9	0.0414	0.0110	0.4998	0.0135	2.2238	2.4481	263.460	290.466	72.58	1.00	3992e-5
11	301.9	575.1	0.00174	94.40	3.30	1040e-7	1036e-7	9619.93	9650.16	9.1716	300.7	303.2	303.6	311.3	5.2	0.0527	0.0140	0.5662	0.0180	0.8884	1.7155	109.180	215.842	85.73	1.00	4930e-5
12	276.9	550.0	0.00182	91.09	2.15	1055e-7	1053e-7	9477.42	9497.86	9.1567	275.8	277.9	278.2	285.7	5.4	0.0091	0.0101	0.5201	0.0121	3.1734	2.1168	391.755	262.133	78.64	1.00	4325e-5
13	251.7	524.9	0.00191	87.51	2.11	1060e-7	1055e-7	9431.73	9482.06	9.1518	250.7	252.7	253.6	260.6	5.0	0.0103	0.0101	0.4640	0.0109	2.8815	2.1707	353.421	268.362	72.23	1.00	3791e-5
